,Country
0,Russia
1,China
2,India
3,Kazakhstan
4,Saudi Arabia
5,Iran
6,Mongolia
7,Indonesia
8,Pakistan
9,Turkey
10,Myanmar
11,Afghanistan
12,Yemen
13,Thailand
14,Turkmenistan
15,Uzbekistan
16,Iraq
17,Japan
18,Vietnam
19,Malaysia
20,Oman
21,Philippines
22,Laos
23,Kyrgyzstan
24,Syria
25,Cambodia
26,Bangladesh
27,Nepal
28,Tajikistan
29,North Korea
30,South Korea
31,Jordan
32,Azerbaijan
33,United Arab Emirates
34,Georgia
35,Sri Lanka
36,Bhutan
37,Taiwan
38,Armenia
39,Israel
40,Kuwait
41,Timor-Leste
42,Qatar
43,Lebanon
44,Cyprus
45,Brunei
46,Bahrain
47,Singapore
48,Maldives
49,Palestine
