,Country Name,Travel Destination,Things to Do,location,reviewcount,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal
0,Indonesia,Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)', 'Pemandangan & Tengara (16)', 'Spa & Kebugaran (11)', 'Wisata Alam & Taman (9)', 'Hiburan malam (6)', 'Tempat Belanja (4)', 'Kebun Binatang & Akuarium (2)', 'Makanan & Minuman (1)', 'Kursus & Sanggar (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Sumber Informasi Wisatawan (1)', 'Cocok untuk Pasangan (16)', 'Harga terjangkau (15)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (13)', 'Masuk Gratis (12)', 'Bagus Saat Hujan (10)', 'Lokasi bulan madu (5)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Tempat yang Belum Populer (3)', 'Berjiwa petualang (2)']","Bintan Regency, Indonesia",25006,https://www.tripadvisor.co.id/Hotels-g297718-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province-Hotels.html,1740182.0,https://www.tripadvisor.co.id/Flights-g297718-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province-Cheap_Discount_Airfares.html,
1,Indonesia,Seminyak,"['Tur (204)', 'Spa & Kebugaran (164)', 'Aktivitas Luar Ruangan (140)', 'Tempat Belanja (74)', 'Tur dengan Perahu & Olahraga Air (73)', 'Transportasi (45)', 'Hiburan malam (25)', 'Kursus & Sanggar (25)', 'Makanan & Minuman (23)', 'Museum (11)', 'Hiburan & Permainan (9)', 'Wisata Alam & Taman (4)', 'Pemandangan & Tengara (2)', 'Konser & Pertunjukan (1)', 'Bagus Saat Hujan (162)', 'Cocok untuk Pasangan (153)', 'Harga terjangkau (96)', 'Lokasi bulan madu (72)', 'Cocok untuk Anak-Anak (61)', 'Cocok untuk Kelompok Besar (61)', 'Masuk Gratis (38)', 'Cocok untuk Penggemar Aktivitas Ekstrem (37)', 'Tempat yang Belum Populer (12)', 'Berjiwa petualang (12)']","Kecamatan Kuta, Indonesia",451212,https://www.tripadvisor.co.id/Hotels-g469404-Seminyak_Kuta_District_Bali-Hotels.html,2331874.0,https://www.tripadvisor.co.id/Flights-g469404-Seminyak_Kuta_District_Bali-Cheap_Discount_Airfares.html,1305700
2,Indonesia,Bali,"['Tur (5.854)', 'Aktivitas Luar Ruangan (3.740)', 'Tur dengan Perahu & Olahraga Air (2.078)', 'Spa & Kebugaran (1.294)', 'Transportasi (1.247)', 'Tempat Belanja (766)', 'Kursus & Sanggar (431)', 'Pemandangan & Tengara (364)', 'Makanan & Minuman (349)', 'Wisata Alam & Taman (320)', 'Hiburan & Permainan (206)', 'Hiburan malam (193)', 'Museum (135)', 'Konser & Pertunjukan (47)', 'Taman Air & Taman Hiburan (22)', '', '', '', '', 'Lihat semua', 'Cocok untuk Pasangan (2.253)', 'Harga terjangkau (1.715)', 'Cocok untuk Anak-Anak (1.421)', 'Bagus Saat Hujan (1.380)', 'Cocok untuk Kelompok Besar (1.244)', 'Lokasi bulan madu (873)', 'Cocok untuk Penggemar Aktivitas Ekstrem (684)', 'Masuk Gratis (437)', 'Berjiwa petualang (346)', 'Tempat yang Belum Populer (327)']",Indonesia,2998882,https://www.tripadvisor.co.id/Hotels-g294226-Bali-Hotels.html,656190.0,https://www.tripadvisor.co.id/Flights-g294226-Bali-Cheap_Discount_Airfares.html,1145870
3,Indonesia,Ubud,"['Tur (884)', 'Aktivitas Luar Ruangan (525)', 'Spa & Kebugaran (302)', 'Transportasi (216)', 'Tur dengan Perahu & Olahraga Air (192)', 'Tempat Belanja (176)', 'Kursus & Sanggar (136)', 'Makanan & Minuman (86)', 'Hiburan & Permainan (57)', 'Museum (44)', 'Pemandangan & Tengara (33)', 'Hiburan malam (21)', 'Konser & Pertunjukan (21)', 'Wisata Alam & Taman (8)', 'Sumber Informasi Wisatawan (3)', 'Cocok untuk Pasangan (427)', 'Harga terjangkau (374)', 'Bagus Saat Hujan (346)', 'Cocok untuk Anak-Anak (238)', 'Cocok untuk Kelompok Besar (214)', 'Lokasi bulan madu (194)', 'Tempat yang Belum Populer (112)', 'Cocok untuk Penggemar Aktivitas Ekstrem (80)', 'Masuk Gratis (64)', 'Berjiwa petualang (55)']","Gianyar Regency, Indonesia",610495,https://www.tripadvisor.co.id/Hotels-g297701-Ubud_Gianyar_Regency_Bali-Hotels.html,2865927.0,https://www.tripadvisor.co.id/Flights-g297701-Ubud_Gianyar_Regency_Bali-Cheap_Discount_Airfares.html,1145870
4,Indonesia,Jakarta,"['Tur (168)', 'Tempat Belanja (148)', 'Spa & Kebugaran (142)', 'Aktivitas Luar Ruangan (113)', 'Hiburan & Permainan (85)', 'Transportasi (67)', 'Pemandangan & Tengara (58)', 'Museum (52)', 'Wisata Alam & Taman (51)', 'Hiburan malam (38)', 'Kursus & Sanggar (35)', 'Tur dengan Perahu & Olahraga Air (35)', 'Makanan & Minuman (28)', 'Taman Air & Taman Hiburan (21)', 'Konser & Pertunjukan (17)', '', '', '', 'Lihat semua', 'Kebayoran Baru (56)', 'Setiabudi (38)', 'Cilandak (34)', 'Mampang Prapatan (27)', 'Menteng (16)', 'Pasar Minggu (15)', 'Penjaringan (14)', 'Tebet (12)', 'Jatinegara (7)', 'Gambir (4)', 'Palmerah (3)', 'Tanah Abang (3)', 'Pademangan (3)', 'Sawah Besar (2)', 'Grogol Petamburan (2)', '', 'Lihat semua', 'Bagus Saat Hujan (144)', 'Cocok untuk Anak-Anak (105)', 'Masuk Gratis (100)', 'Harga terjangkau (99)', 'Cocok untuk Kelompok Besar (63)', 'Cocok untuk Pasangan (56)', 'Cocok untuk Penggemar Aktivitas Ekstrem (14)', 'Berjiwa petualang (8)', 'Tempat yang Belum Populer (7)', 'Lokasi bulan madu (1)']","Jawa, Indonesia",339358,https://www.tripadvisor.co.id/Hotels-g294229-Jakarta_Java-Hotels.html,360563.0,https://www.tripadvisor.co.id/Flights-g294229-Jakarta_Java-Cheap_Discount_Airfares.html,0
5,Indonesia,Kuta,"['Tur (691)', 'Aktivitas Luar Ruangan (402)', 'Tur dengan Perahu & Olahraga Air (248)', 'Transportasi (203)', 'Spa & Kebugaran (162)', 'Tempat Belanja (107)', 'Hiburan malam (44)', 'Makanan & Minuman (30)', 'Hiburan & Permainan (22)', 'Kursus & Sanggar (19)', 'Pemandangan & Tengara (12)', 'Wisata Alam & Taman (12)', 'Museum (9)', 'Konser & Pertunjukan (6)', 'Taman Air & Taman Hiburan (4)', '', '', 'Lihat semua', 'Cocok untuk Pasangan (222)', 'Bagus Saat Hujan (173)', 'Harga terjangkau (168)', 'Cocok untuk Anak-Anak (157)', 'Cocok untuk Kelompok Besar (130)', 'Lokasi bulan madu (70)', 'Cocok untuk Penggemar Aktivitas Ekstrem (59)', 'Masuk Gratis (58)', 'Berjiwa petualang (25)', 'Tempat yang Belum Populer (16)']","Kecamatan Kuta, Indonesia",364605,https://www.tripadvisor.co.id/Hotels-g297697-Kuta_Kuta_District_Bali-Hotels.html,163912.0,https://www.tripadvisor.co.id/Flights-g297697-Kuta_Kuta_District_Bali-Cheap_Discount_Airfares.html,1305700
6,Indonesia,Legian,"['Tur (78)', 'Spa & Kebugaran (62)', 'Aktivitas Luar Ruangan (61)', 'Tur dengan Perahu & Olahraga Air (49)', 'Tempat Belanja (29)', 'Hiburan malam (18)', 'Transportasi (10)', 'Kursus & Sanggar (6)', 'Pemandangan & Tengara (6)', 'Makanan & Minuman (4)', 'Hiburan & Permainan (3)', 'Museum (2)', 'Wisata Alam & Taman (1)', 'Bagus Saat Hujan (43)', 'Harga terjangkau (38)', 'Cocok untuk Pasangan (34)', 'Cocok untuk Anak-Anak (23)', 'Cocok untuk Kelompok Besar (18)', 'Lokasi bulan madu (16)', 'Masuk Gratis (16)', 'Cocok untuk Penggemar Aktivitas Ekstrem (11)', 'Berjiwa petualang (4)', 'Tempat yang Belum Populer (1)']","Kecamatan Kuta, Indonesia",161368,https://www.tripadvisor.co.id/Hotels-g608487-Legian_Kuta_District_Bali-Hotels.html,2360331.0,https://www.tripadvisor.co.id/Flights-g608487-Legian_Kuta_District_Bali-Cheap_Discount_Airfares.html,1305700
7,Indonesia,Yogyakarta,"['Tur (377)', 'Aktivitas Luar Ruangan (228)', 'Transportasi (123)', 'Pemandangan & Tengara (105)', 'Tempat Belanja (103)', 'Wisata Alam & Taman (95)', 'Spa & Kebugaran (50)', 'Museum (48)', 'Tur dengan Perahu & Olahraga Air (44)', 'Kursus & Sanggar (39)', 'Hiburan & Permainan (33)', 'Makanan & Minuman (30)', 'Hiburan malam (12)', 'Taman Air & Taman Hiburan (10)', 'Konser & Pertunjukan (7)', '', '', '', 'Lihat semua', 'Harga terjangkau (129)', 'Cocok untuk Anak-Anak (127)', 'Cocok untuk Pasangan (110)', 'Cocok untuk Kelompok Besar (94)', 'Bagus Saat Hujan (63)', 'Masuk Gratis (54)', 'Cocok untuk Penggemar Aktivitas Ekstrem (35)', 'Tempat yang Belum Populer (33)', 'Lokasi bulan madu (19)', 'Berjiwa petualang (16)']","Jawa, Indonesia",163279,https://www.tripadvisor.co.id/Hotels-g294230-Yogyakarta_Region_Java-Hotels.html,1100000.0,https://www.tripadvisor.co.id/Flights-g294230-Yogyakarta_Region_Java-Cheap_Discount_Airfares.html,1802693
8,Indonesia,Nusa Dua,"['Tur (148)', 'Aktivitas Luar Ruangan (106)', 'Spa & Kebugaran (81)', 'Tur dengan Perahu & Olahraga Air (70)', 'Transportasi (28)', 'Tempat Belanja (12)', 'Kursus & Sanggar (10)', 'Makanan & Minuman (9)', 'Hiburan malam (8)', 'Wisata Alam & Taman (7)', 'Hiburan & Permainan (5)', 'Pemandangan & Tengara (4)', 'Museum (2)', 'Konser & Pertunjukan (2)', 'Taman Air & Taman Hiburan (1)', '', 'Lihat semua', 'Cocok untuk Pasangan (90)', 'Harga terjangkau (61)', 'Bagus Saat Hujan (56)', 'Cocok untuk Anak-Anak (52)', 'Lokasi bulan madu (46)', 'Cocok untuk Kelompok Besar (37)', 'Cocok untuk Penggemar Aktivitas Ekstrem (17)', 'Tempat yang Belum Populer (9)', 'Masuk Gratis (8)', 'Berjiwa petualang (7)']","Semenanjung Nusa Dua, Indonesia",166489,https://www.tripadvisor.co.id/Hotels-g297698-Nusa_Dua_Nusa_Dua_Peninsula_Bali-Hotels.html,700000.0,https://www.tripadvisor.co.id/Flights-g297698-Nusa_Dua_Nusa_Dua_Peninsula_Bali-Cheap_Discount_Airfares.html,1305700
9,Indonesia,Jimbaran,"['Tur (187)', 'Aktivitas Luar Ruangan (104)', 'Tur dengan Perahu & Olahraga Air (61)', 'Spa & Kebugaran (52)', 'Tempat Belanja (22)', 'Transportasi (19)', 'Makanan & Minuman (10)', 'Kursus & Sanggar (7)', 'Hiburan & Permainan (7)', 'Pemandangan & Tengara (6)', 'Wisata Alam & Taman (3)', 'Hiburan malam (2)', 'Cocok untuk Pasangan (71)', 'Cocok untuk Anak-Anak (58)', 'Harga terjangkau (49)', 'Cocok untuk Kelompok Besar (49)', 'Bagus Saat Hujan (42)', 'Lokasi bulan madu (27)', 'Cocok untuk Penggemar Aktivitas Ekstrem (22)', 'Masuk Gratis (9)', 'Tempat yang Belum Populer (4)', 'Berjiwa petualang (2)']","Kuta Selatan, Indonesia",105628,https://www.tripadvisor.co.id/Hotels-g297696-Jimbaran_South_Kuta_Bali-Hotels.html,1695312.0,https://www.tripadvisor.co.id/Flights-g297696-Jimbaran_South_Kuta_Bali-Cheap_Discount_Airfares.html,1305700
