Spot / Vendor,Type,reviewers,link
Air Adventures Flying Club Bintan - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)']",64,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d6515929-Reviews-Air_Adventures_Flying_Club_Bintan-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archip.html
Bintan Trip - Bintan,"['Tur (39)', 'Transportasi (21)']",36,https://www.tripadvisor.co.id/Attraction_Review-g297718-d15694195-Reviews-Bintan_Trip-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Bintan Taxi (民丹岛出租车服务） - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)']",32,https://www.tripadvisor.co.id/Attraction_Review-g3485420-d16726238-Reviews-Bintan_Taxi-Tanjung_Uban_Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Isl.html
Bintan taxi adventure - Bintan,"['Tur (39)', 'Transportasi (21)']",4,https://www.tripadvisor.co.id/Attraction_Review-g297718-d19910066-Reviews-Bintan_taxi_adventure-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands.html
Bintan Adventures - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)']",26,https://www.tripadvisor.co.id/Attraction_Review-g297718-d12226301-Reviews-Bintan_Adventures-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Pro.html
Tanah Laut Adventures - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",23,https://www.tripadvisor.co.id/Attraction_Review-g297718-d7935584-Reviews-Tanah_Laut_Adventures-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_.html
BindoTravel - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Transportasi (21)', 'Tur dengan Perahu & Olahraga Air (20)', 'Hiburan malam (6)', 'Makanan & Minuman (1)']",1,https://www.tripadvisor.co.id/Attraction_Review-g297718-d19975924-Reviews-BindoTravel-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province.html
Bintan Mangrove Discovery - Tur Harian - Bintan,['Tur (39)'],62,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d7022654-Reviews-Bintan_Mangrove_Discovery_Day_Tour-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archi.html
Bintan Piknik - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",11,https://www.tripadvisor.co.id/Attraction_Review-g297718-d17753725-Reviews-Bintan_Piknik-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Provinc.html
Chill Cove @ Treasure Bay Bintan - Bintan,"['Tur (39)', 'Aktivitas Luar Ruangan (30)', 'Tur dengan Perahu & Olahraga Air (20)']",60,https://www.tripadvisor.co.id/Attraction_Review-g1096248-d12241643-Reviews-Chill_Cove_Treasure_Bay_Bintan-Lagoi_Bintan_Island_Bintan_Regency_Riau_Archipel.html
