,Travel Destination,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal
0,Bintan,https://www.tripadvisor.co.id/Hotels-g297718-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province-Hotels.html,Rp 1.740.182,https://www.tripadvisor.co.id/Flights-g297718-Bintan_Island_Bintan_Regency_Riau_Archipelago_Riau_Islands_Province-Cheap_Discount_Airfares.html,
1,Seminyak,https://www.tripadvisor.co.id/Hotels-g469404-Seminyak_Kuta_District_Bali-Hotels.html,Rp 2.331.874,https://www.tripadvisor.co.id/Flights-g469404-Seminyak_Kuta_District_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
2,Bali,https://www.tripadvisor.co.id/Hotels-g294226-Bali-Hotels.html,Rp 656.190,https://www.tripadvisor.co.id/Flights-g294226-Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
3,Ubud,https://www.tripadvisor.co.id/Hotels-g297701-Ubud_Gianyar_Regency_Bali-Hotels.html,Rp 2.865.927,https://www.tripadvisor.co.id/Flights-g297701-Ubud_Gianyar_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
4,Jakarta,https://www.tripadvisor.co.id/Hotels-g294229-Jakarta_Java-Hotels.html,Rp 360.563,https://www.tripadvisor.co.id/Flights-g294229-Jakarta_Java-Cheap_Discount_Airfares.html,
5,Kuta,https://www.tripadvisor.co.id/Hotels-g297697-Kuta_Kuta_District_Bali-Hotels.html,Rp 163.912,https://www.tripadvisor.co.id/Flights-g297697-Kuta_Kuta_District_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
7,Legian,https://www.tripadvisor.co.id/Hotels-g608487-Legian_Kuta_District_Bali-Hotels.html,Rp 2.360.331,https://www.tripadvisor.co.id/Flights-g608487-Legian_Kuta_District_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
8,Yogyakarta,https://www.tripadvisor.co.id/Hotels-g294230-Yogyakarta_Region_Java-Hotels.html,Rp 1.100.000,https://www.tripadvisor.co.id/Flights-g294230-Yogyakarta_Region_Java-Cheap_Discount_Airfares.html,Rp 1.802.693
9,Yogyakarta,https://www.tripadvisor.co.id/Hotels-g294230-Yogyakarta_Region_Java-Hotels.html,Rp 1.100.000,https://www.tripadvisor.co.id/Flights-g294230-Yogyakarta_Region_Java-Cheap_Discount_Airfares.html,Rp 1.787.500
10,Nusa Dua,https://www.tripadvisor.co.id/Hotels-g297698-Nusa_Dua_Nusa_Dua_Peninsula_Bali-Hotels.html,Rp 700.000,https://www.tripadvisor.co.id/Flights-g297698-Nusa_Dua_Nusa_Dua_Peninsula_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
11,Jimbaran,https://www.tripadvisor.co.id/Hotels-g297696-Jimbaran_South_Kuta_Bali-Hotels.html,Rp 1.695.312,https://www.tripadvisor.co.id/Flights-g297696-Jimbaran_South_Kuta_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
12,Bandung,https://www.tripadvisor.co.id/Hotels-g297704-Bandung_West_Java_Java-Hotels.html,Rp 1.198.347,https://www.tripadvisor.co.id/Flights-g297704-Bandung_West_Java_Java-Cheap_Discount_Airfares.html,Rp 1.491.127
13,Sanur,https://www.tripadvisor.co.id/Hotels-g297700-Sanur_Denpasar_Bali-Hotels.html,Rp 1.487.603,https://www.tripadvisor.co.id/Flights-g297700-Sanur_Denpasar_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
14,Batam,https://www.tripadvisor.co.id/Hotels-g297717-Batam_Riau_Archipelago_Riau_Islands_Province-Hotels.html,Rp 706.612,https://www.tripadvisor.co.id/Flights-g297717-Batam_Riau_Archipelago_Riau_Islands_Province-Cheap_Discount_Airfares.html,Rp 1.096.600
15,Lombok,https://www.tripadvisor.co.id/Hotels-g297733-Lombok_West_Nusa_Tenggara-Hotels.html,Rp 1.721.296,https://www.tripadvisor.co.id/Flights-g297733-Lombok_West_Nusa_Tenggara-Cheap_Discount_Airfares.html,Rp 1.290.915
16,Canggu,https://www.tripadvisor.co.id/Hotels-g311298-Canggu_North_Kuta_Bali-Hotels.html,Rp 1.029.978,https://www.tripadvisor.co.id/Flights-g311298-Canggu_North_Kuta_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
17,Surabaya,https://www.tripadvisor.co.id/Hotels-g297715-Surabaya_East_Java_Java-Hotels.html,Rp 434.545,https://www.tripadvisor.co.id/Flights-g297715-Surabaya_East_Java_Java-Cheap_Discount_Airfares.html,Rp 962.802
18,Denpasar,https://www.tripadvisor.co.id/Hotels-g297694-Denpasar_Bali-Hotels.html,Rp 453.298,https://www.tripadvisor.co.id/Flights-g297694-Denpasar_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
19,Bogor,https://www.tripadvisor.co.id/Hotels-g297706-Bogor_West_Java_Java-Hotels.html,Rp 970.043,https://www.tripadvisor.co.id/Flights-g297706-Bogor_West_Java_Java-Cheap_Discount_Airfares.html,
20,Puncak,https://www.tripadvisor.co.id/Hotels-g844506-Puncak_West_Java_Java-Hotels.html,Rp 611.207,https://www.tripadvisor.co.id/Flights-g844506-Puncak_West_Java_Java-Cheap_Discount_Airfares.html,
21,Nusa Lembongan,https://www.tripadvisor.co.id/Hotels-g1137831-Nusa_Lembongan_Bali-Hotels.html,Rp 1.053.818,https://www.tripadvisor.co.id/Flights-g1137831-Nusa_Lembongan_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
22,Tanjungbenoa,https://www.tripadvisor.co.id/Hotels-g1465999-Tanjung_Benoa_Nusa_Dua_Peninsula_Bali-Hotels.html,Rp 1.487.500,https://www.tripadvisor.co.id/Flights-g1465999-Tanjung_Benoa_Nusa_Dua_Peninsula_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
23,Uluwatu,https://www.tripadvisor.co.id/Hotels-g8366411-Uluwatu_Bali-Hotels.html,Rp 8.153.000,https://www.tripadvisor.co.id/Flights-g8366411-Uluwatu_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
24,Gili Trawangan,https://www.tripadvisor.co.id/Hotels-g664666-Gili_Trawangan_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Hotels.html,Rp 401.107,https://www.tripadvisor.co.id/Flights-g664666-Gili_Trawangan_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Cheap_Discount_Airfares.html,Rp 1.134.030
25,Tulamben,https://www.tripadvisor.co.id/Hotels-g469406-Tulamben_Bali-Hotels.html,Rp 330.579,https://www.tripadvisor.co.id/Flights-g469406-Tulamben_Bali-Cheap_Discount_Airfares.html,Rp 1.355.103
26,Samosir,https://www.tripadvisor.co.id/Hotels-g303958-Samosir_Island_North_Sumatra_Sumatra-Hotels.html,Rp 185.950,https://www.tripadvisor.co.id/Flights-g303958-Samosir_Island_North_Sumatra_Sumatra-Cheap_Discount_Airfares.html,Rp 1.358.600
27,Purwokerto,https://www.tripadvisor.co.id/Hotels-g790290-Purwokerto_Central_Java_Java-Hotels.html,Rp 428.430,https://www.tripadvisor.co.id/Flights-g790290-Purwokerto_Central_Java_Java-Cheap_Discount_Airfares.html,
28,Pulau Bunaken,https://www.tripadvisor.co.id/Hotels-g1071666-Bunaken_Island_Manado_North_Sulawesi_Sulawesi-Hotels.html,Rp 1.035.324,https://www.tripadvisor.co.id/Flights-g1071666-Bunaken_Island_Manado_North_Sulawesi_Sulawesi-Cheap_Discount_Airfares.html,Rp 2.161.400
29,Berastagi,https://www.tripadvisor.co.id/Hotels-g469407-Berastagi_North_Sumatra_Sumatra-Hotels.html,Rp 752.066,https://www.tripadvisor.co.id/Flights-g469407-Berastagi_North_Sumatra_Sumatra-Cheap_Discount_Airfares.html,Rp 1.358.600
30,Sidemen,https://www.tripadvisor.co.id/Hotels-g608495-Sidemen_Karangasem_Bali-Hotels.html,Rp 983.125,https://www.tripadvisor.co.id/Flights-g608495-Sidemen_Karangasem_Bali-Cheap_Discount_Airfares.html,Rp 1.183.700
31,Anyer,https://www.tripadvisor.co.id/Hotels-g3400871-Anyer_Banten_Province_Java-Hotels.html,Rp 668.000,https://www.tripadvisor.co.id/Flights-g3400871-Anyer_Banten_Province_Java-Cheap_Discount_Airfares.html,
32,Nusa Penida,https://www.tripadvisor.co.id/Hotels-g2538506-Nusa_Penida_Bali-Hotels.html,Rp 500.776,https://www.tripadvisor.co.id/Flights-g2538506-Nusa_Penida_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
