Travel Destination,Checking,Things to Do,Country Name,Location,Review Count
Pasanauri,Pasanauri,"['Tur (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Aktivitas Luar Ruangan (1)']",Georgia,"Mtskheta-Mtianeti Region, Georgia",124
Zeda Gordi,Zeda Gordi,"['Wisata Alam & Taman (1)', 'Cocok untuk Pasangan (1)', 'Harga terjangkau (1)', 'Cocok untuk Kelompok Besar (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Berjiwa petualang (1)']",Georgia,"Kutaisi, Georgia",409
Martivili,Martivili,"['Pemandangan & Tengara (1)', 'Wisata Alam & Taman (1)', 'Cocok untuk Pasangan (1)', 'Harga terjangkau (1)', 'Cocok untuk Anak-Anak (1)', 'Cocok untuk Kelompok Besar (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Masuk Gratis (1)']",Georgia,"Samegrelo-Zemo Svaneti Region, Georgia",262
Tsinandali,Tsinandali,"['Makanan & Minuman (3)', 'Museum (2)', 'Pemandangan & Tengara (1)', 'Cocok untuk Pasangan (3)', 'Harga terjangkau (3)', 'Cocok untuk Kelompok Besar (3)', 'Bagus Saat Hujan (3)', 'Cocok untuk Anak-Anak (1)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)', 'Masuk Gratis (1)']",Georgia,"Kakheti Region, Georgia",465
Guria Region,Guria Region,"['Pemandangan & Tengara (4)', 'Wisata Alam & Taman (3)', 'Aktivitas Luar Ruangan (3)', 'Tur (2)', 'Makanan & Minuman (1)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Transportasi (1)', 'Harga terjangkau (1)', 'Cocok untuk Anak-Anak (1)', 'Cocok untuk Kelompok Besar (1)', 'Masuk Gratis (1)']",Georgia,Georgia,937
Tsqaltubo,Tsqaltubo,['Wisata Alam & Taman (1)'],Georgia,"Imereti Region, Georgia",196
Aspindza,Aspindza,"['Pemandangan & Tengara (2)', 'Harga terjangkau (2)', 'Cocok untuk Kelompok Besar (2)', 'Cocok untuk Pasangan (1)', 'Cocok untuk Anak-Anak (1)', 'Lokasi bulan madu (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']",Georgia,"Samtskhe-Javakheti Region, Georgia",1028
Ushguli,Ushguli,"['Pemandangan & Tengara (2)', 'Museum (2)', 'Tur (1)', 'Aktivitas Luar Ruangan (1)', 'Harga terjangkau (1)', 'Cocok untuk Kelompok Besar (1)', 'Masuk Gratis (1)', 'Bagus Saat Hujan (1)']",Georgia,"Samegrelo-Zemo Svaneti Region, Georgia",369
Chiatura,Chiatura,"['Pemandangan & Tengara (2)', 'Tur (1)', 'Museum (1)', 'Transportasi (1)', 'Harga terjangkau (2)', 'Masuk Gratis (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Berjiwa petualang (1)']",Georgia,"Imereti Region, Georgia",118
Udabno,Udabno,"['Pemandangan & Tengara (2)', 'Tur (1)', 'Transportasi (1)', 'Aktivitas Luar Ruangan (1)', 'Harga terjangkau (1)', 'Cocok untuk Kelompok Besar (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Masuk Gratis (1)', 'Berjiwa petualang (1)']",Georgia,"Kakheti Region, Georgia",475
Mazeri,Mazeri,"['Tur (2)', 'Aktivitas Luar Ruangan (1)']",Georgia,"Upper Svaneti, Georgia",229
Samegrelo-Zemo Svaneti Region,Samegrelo-Zemo Svaneti Region,"['Pemandangan & Tengara (27)', 'Aktivitas Luar Ruangan (21)', 'Tur (20)', 'Wisata Alam & Taman (15)', 'Museum (7)', 'Transportasi (4)', 'Makanan & Minuman (3)', 'Tur dengan Perahu & Olahraga Air (3)', 'Hiburan malam (1)', 'Taman Air & Taman Hiburan (1)', 'Harga terjangkau (13)', 'Masuk Gratis (12)', 'Cocok untuk Kelompok Besar (9)', 'Cocok untuk Pasangan (8)', 'Bagus Saat Hujan (7)', 'Cocok untuk Anak-Anak (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Berjiwa petualang (3)']",Georgia,Georgia,6786
Adjara Region,Adjara Region,"['Tur (48)', 'Pemandangan & Tengara (42)', 'Aktivitas Luar Ruangan (40)', 'Hiburan malam (32)', 'Makanan & Minuman (29)', 'Transportasi (20)', 'Tempat Belanja (19)', 'Wisata Alam & Taman (17)', 'Museum (15)', 'Hiburan & Permainan (12)', 'Tur dengan Perahu & Olahraga Air (11)', 'Kursus & Sanggar (6)', 'Kasino & Perjudian (5)', 'Konser & Pertunjukan (5)', 'Spa & Kebugaran (3)', 'Lihat semua', 'Harga terjangkau (42)', 'Cocok untuk Anak-Anak (41)', 'Cocok untuk Kelompok Besar (36)', 'Masuk Gratis (36)', 'Cocok untuk Pasangan (28)', 'Bagus Saat Hujan (24)', 'Lokasi bulan madu (13)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Tempat yang Belum Populer (4)', 'Berjiwa petualang (1)']",Georgia,Georgia,50924
Imereti Region,Imereti Region,"['Tur (50)', 'Makanan & Minuman (29)', 'Aktivitas Luar Ruangan (29)', 'Transportasi (26)', 'Pemandangan & Tengara (20)', 'Hiburan malam (12)', 'Wisata Alam & Taman (12)', 'Tempat Belanja (9)', 'Museum (9)', 'Tur dengan Perahu & Olahraga Air (6)', 'Kursus & Sanggar (5)', 'Hiburan & Permainan (4)', 'Konser & Pertunjukan (3)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Lihat semua', 'Harga terjangkau (19)', 'Cocok untuk Pasangan (14)', 'Cocok untuk Kelompok Besar (14)', 'Masuk Gratis (14)', 'Cocok untuk Anak-Anak (13)', 'Bagus Saat Hujan (12)', 'Cocok untuk Penggemar Aktivitas Ekstrem (6)', 'Berjiwa petualang (4)', 'Lokasi bulan madu (3)', 'Tempat yang Belum Populer (3)']",Georgia,Georgia,11717
